Lyric,Title,Singer,Emotion,Label
"How many songbirds fly to and fro
In an English country garden?",English Country Garden,Jimmie F. Rodgers,Joy,0
Get up (Get up) Get crunk (Get crunk),You Don't Want Drama,8Ball & MJG,Anger,1
"Oooohhh, oh you the qu-e-e-the queen of this here?
One platinum plaque, album flopped, bitch, where? (bitch, where?)
Hahaha, ahhhhh
I took two bars off just to laugh",Make Love,Gucci Mane and Nicki Minaj,Disgusting,4
We push a lot of everything but it's usually krill,Hollow Points,Unknown ,Anger,1
"They say niggas like to do niggas,",I Don't Give a Fuck,Tupac Shakur,Anger,1
"Oh, now he's raping his own mother
Abusing a whore, snorting coke
And we gave him the Rolling Stone cover?",Kill You,Eminem,Anger,1
Fuck you to the F.B.I,I Don't Give a Fuck,Tupac Shakur,Anger,1
"The cow, she makes a sound like this: ""Mooooooo.""",Down on Grandpa's Farm ,Nursery Rhymes,Joy,0
We wanna live while we're young,Live While We're Young,One Direction,Joy,0
"Oh you are special, special;
Everyone is special,",Everyone Is Special,Barney,Joy,0
"Yeah, I like me better when I'm with you",I like me better,Lauv,Sad,2
Viscera torn forcefully from the abdomen,Evisceration Plague,Cannibal Corpse,fear,3
"Alone, alone",You Are Not Alone,Michael Jackson,Sad,2
"And you fall, and you crawl, and you break",Complicated,Avril Lavigne ,Anger,1
No one you can save that can't be saved,All You Need is Love,The Beatles ,Joy,0
"Reason why I'm going big bitch, suck my dick",The Spiteful Chant,Kendrick Lamar,Anger,1
"My chains are gone, my debt is paid",Grace to Grace,Hillsong Worship,Suprise,5
And I know there'll be no more tears in heaven,Tears In Heaven,Eric Clapton,Suprise,5
"I'll always take you back for your sex appeal (Good time, hey)",I Know There's Gonna Be (Good Times),Jamie xx,Joy,0
"My hands stay dirty, cause I play dirty the mob way",Get It On The Floor,DMX,Anger,1
Didn't mean to leave you,Sorry,Halsey,Sad,2
"For a lifetime of ""I love you's""
Two hearts, One beat
You whisper to me
Be mine for a lifetime",For a Lifetime,Ryann Darling,Joy,0
"And on the other hand, without a gun they can't get none",Fuck Tha Police,N.W.A.,Anger,1
"There is no one else for me
None but Jesus",None But Jesus,Hillsong UNITED,Suprise,5
You just lucked up,Break Stuff,Limp Bizkit,Anger,1
I hate you because you're a woman,I Became a Counselor So I Could Tell Rape Victims They Asked for It,Anal Cunt,Disgusting,4
This was an evil committed by the insane,Bloody Chunks,Cannibal Corpse,fear,3
Middle America packed in Came to see me in my black skin,Black Skinhead,Kanye West,Disgusting,4
Drugs became conveniently Available for all the kids,Prison Song,Unknown,Anger,1
"Causin' terror, quick damage ya whole era",Bring da Ruckus,Wu-Tang Clan,Anger,1
"My little girl wouldn't say, ""I do"".",Lonely Avenue,"Ray Charles, Doc Pomus",Sad,2
"Gone away is the bluebird
Here to stay is a new bird
To sing a love song
While we stroll along
Walking in a winter wonderland",Winter Wonderland,Micheal Bubble,Joy,0
"My gun, don't make me beat it (bang bang)",3Hunna,Chief Keef,Anger,1
"And darling when you're cold
I'll hold you tight and keep you warm",I Build This Garden for Us,Lenny Kravitz,Joy,0
This is falling in love in the cruelest way,Come Back...Be Here,Taylor Swift,Sad,2
And I miss you,Everybody's Got Somebody But Me,Hunter Hayes,Sad,2
"Losing my sight, losing my mind",Angry White Boy Polka,Weird Al Yankovic,Anger,1
"It's flesh I shall gorge.
It seems feasting on young infant flesh has made my semen leak.
I am aroused. Fuck I'm crazy
I fuck the blood. I need meat on my cock.",BABY KILLER,"DEVOURMENT

",Disgusting,4
You're only trying to show me,Tonight I’ll Be Lonely Too,Alison Krauss,Sad,2
"For my monster from his slab, began to rise",Monster Mash,Bobby Pickett,Fear,3
"If you're happy and you know it, clap your hands",If You're Happy and You Know It,Barney,Joy,0
You'll probably end up jumpin' out of somethin' up on the tenth,Kill You,Eminem,Anger,1
With no leak at the seam,Mercy Street,Peter Gabriel,Sad,2
"He say he wanna touch it, and tease it, and squeeze it
While my piggy bank is hungry, my nigga, you need to feed it",Taki Taki,"DJ Snake, Nicki minaj And Selena Goemaz",Disgusting,4
I love you and that's all I really know,Love Story,Taylor Swift,Joy,0
Vampires are surrounding me,Vampire ,Night Club,Fear,3
"One for the money, two for the pop, three for a rock (yeah)",Hollow Points,Unknown ,Anger,1
But I'll only stay with you one more night,One More Night,Maroon 5,Joy,0
Never Imagine we'd end like this,Last Kiss,Taylor Swift,Sad,2
I'm the last of the best (best),Crunk Muzik,The Diplomats,Anger,1
"And I just checked my accounts
Turns out, I'm rich, I'm rich, I'm rich
I put my hand above my hip
I bet, you dip, he dip, she dip",Bodak Yellow,Cardi B,Disgusting,4
"Just hope you're heaven-sent, and you're hell-proof",Drop the World,Lil Wayne,Anger,1
"And when I'm finished, it's gonna be a bloodbath",Fuck Tha Police,N.W.A.,Anger,1
And when she passed away,Alone Again (Naturally),Gilbert O'Sullivan,Sad,2
"Cause I'm losing my sight, losing my mind",Angry White Boy Polka,Weird Al Yankovic,Anger,1
"B****, I'm a pick the world up",Drop the World,Lil Wayne,Anger,1
And feel each move you make,The Power Of Love,Celine Dion,Joy,0
"When you're still inside,",A Beautiful Morning,The Rascals,Joy,0
Everything I will do for you,I Love You Always Forever,,Joy,0
"Wherever you are
That's where I'll be",Wherever You Are,Kodaline,Suprise,5
You're all I ever need,All I Ever Need,Austin Mahone,Joy,0
Shared my pain with my family,Sometimes I Cry,Eric Benét,Sad,2
Gotta step lightly cause cops tried to snippe' me,I Don't Give a Fuck,Tupac Shakur,Anger,1
The dark side of science breeds a weapon of war,Evisceration Plague,Cannibal Corpse,fear,3
"High like space, .forty five on waist",Crunk Muzik,The Diplomats,Anger,1
If you need me anytime,All I Ever Need,Austin Mahone,Joy,0
You are the One who takes all our sins away,Joyful,Brenton Brown,Joy,0
And it haunts me every time I close my eyes,When I Was Your Man,Bruno Mars,Sad,2
"Inch by inch, row by row
Someone bless these seeds I sow",Garden Song,John Denver,Joy,0
EnJoy this kids song / baby song from Pancake Manor,LULU'S SHAKE BREAK SONG ,Nursery Rhymes,Joy,0
"The curse is broken
I have a dependence on vaginal skin
It's become my sexual addiction
I must slit, the twitching clit
Rotted cavity hold the juice",Addicted to Vaginal Skin,Cannibal Corpse,Disgusting,4
Yeah! ay! dip-set! come on,Crunk Muzik,The Diplomats,Anger,1
"Got that Super Soaker, hit that, she a Fefe",FEfe,"6ix9ine, Nicki Minaj",Disgusting,4
"But after all this time, I hope you wait and see","I Like You So Much, You'll Know It",Honey Jemlan,Fear,3
"Daffodils, heart's ease and phlox
Meadowsweet and lady smocks
Gentian, lupine and tall hollihocks
Roses, foxgloves, snowdrops, blue forget-me-nots
In an English country garden",English Country Garden,Jimmie F. Rodgers,Joy,0
I'll be the first to say that I was wrong,When I Was Your Man,Bruno Mars,Sad,2
"And dropped from my label, let's stop with the fables",The Way I Am,Eminem,Anger,1
"
As we go on
We remember
All the times we
Had together
And as our lives change
Come whatever
We will still be
Friends forever",Graduation,vitamin C,Joy,0
I'll jump kick your ass through the glass of the booth window,Hip Hop Sinister,Hopsin,Anger,1
"Get him (get him) get him, hit him (hit him) hit him",Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,1
Her body twitches,"Stripped, Raped and Strangled",Cannibal Corpse,Fear,3
The midnight hour is close at hand,Thriller,Michael Jackson,Fear,3
I wanna take my business else where,I Don't Give a Fuck,Tupac Shakur,Anger,1
And a kiss from me to you,,Barney,Joy,0
You're only useful when you're sucking my dick,I'm gonna give you A.I.D.S,Anal Cunt,Disgusting,4
They know we fed up,I Don't Give a Fuck,Tupac Shakur,Anger,1
Diving in the deep,Song of the sea,Nolwenn Leroy,Joy,0
"And I know it makes no sense, 'cause you walked out the door",100 Years,Five for Fighting,Sad,2
"I was too late, I was too… ",Same Drugs,Chance the Rapper,Sad,2
"Is there a bumper on your ass, no nigga",Move Bitch,Ludacris,Anger,1
Put me into the ground,Vampire ,Night Club,Fear,3
Who'd do your figure!?,I Don't Give a Fuck,Tupac Shakur,Anger,1
"Bells on bobtail ring
Making spirits bright",Jingle Bells,Love to Sing,Joy,0
"Part two, it's so crazy right now",Crazy in Love,Beyoncé,Joy,0
Skulls of victims stacked like trophies,Meat Hook Sodomy,Cannibal Corpse,fear,3
"Close your eyes
Have no Fear
The monster's gone
He's on the run and your daddy's here",Beautiful Boy,John Lennon,Joy,0
But no bitch I evolved,Hip Hop Sinister,Hopsin,Anger,1
"Her name Keke, she eat my dick like it's free, free",Taki Taki,"DJ Snake, Nicki minaj And Selena Goemaz",Disgusting,4
"Now I've had enough, come on fuck off,
Get stuffed.",Fluppy pup,Cardi B,Disgusting,4
"You and I get sick, yeah I know that we can't do this no more",One More Night,Maroon 5,Joy,0
But I'd rather go on hearing your lies,Are You Lonesome Tonight,Elvis Presley,Sad,2
"Permanently, B****, it's beddy-bye",Drop the World,Lil Wayne,Anger,1
"I've got the devil on my shoulder, over and over
And I just can't sink any lower, lower and lower",Devil on My Shoulder,Billy Talent,Suprise,5
"There's a place in your heart
",heal the world,,Joy,0
And when it got too heavy I put my burdens aside,Drop the World,Lil Wayne,Anger,1
"Baby girl sit it down, you not known like an usher",I Know There's Gonna Be (Good Times),Jamie xx,Joy,0
"When today doesn't really know, doesn't really know",All Out of Love,Air Supply,Sad,2
"When he shall come with trumpet sound
Oh, may I then in Him be found
Dressed in His righteousness alone",I Surrender,Hillsong Worship,Suprise,5
Stomach deleted,Frantic Disembowelment,Cannibal Corpse,fear,3
"I'm Everlasting, I melt Vanilla Ice like silicone",Just Don't Give a Fuck (a cappella),Eminem,Anger,1
"Presents and cards are here
My world is filled with cheer and you",This Christmas,Donny Hathaway,Joy,0
"Pussy game just caught a body, but I never leave a trace
Face is pretty, ass for days, I get chips, I ask for Lay's",FEfe,"6ix9ine, Nicki Minaj",Disgusting,4
"
There is no other one that can take your place
I feel happy inside when I see your face
I hope you believe me
Because I speak sincerely
and I mean it when I tell you I need you
You are my best friend",My Best Friend,Weezer,Joy,0
"Hunt you down nigga, run your ass down",Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,1
Of everything we've been through,Memories,Maroon 5,Sad,2
A motherfucking chainsaw,Break Stuff,Limp Bizkit,Anger,1
"Start that goddamn show, I'm comin' through",Move Bitch,Ludacris,Anger,1
You know why my hands are so numb? (No),Fight Music,D12,Anger,1
Different question cousin same answer,Hollow Points,Unknown ,Anger,1
I'll chase them anywhere,A Whole New World,Zayn Malik and Zhavia Ward,Joy,0
Can't think of anything to do,Angry White Boy Polka,Weird Al Yankovic,Anger,1
The screaming pain in agony,World Eater,Bolt Thrower,fear,3
And if you really try You'll find there's no need to cry,heal the world,,Joy,0
"Here we know that Christmas will be green and bright
The sun to shine by day and all the stars at night",Mele Kalikimaka,Jimmy Buffett,Joy,0
Turn away 'cause I need you more,We Found Love,Rihanna,Joy,0
I skid all over marks like I'm haunted,Spikes,Death Grips,Anger,1
all of the people around us they say,We Are Family,Sister Sledge,Joy,0
"I win, get off the bench and give a bunch of fives
I don't see her
Bitch I'm the greatest, no Kendrick and no Sia
I'm the iPhone, you the Nokia",Make Love,Gucci Mane and Nicki Minaj,Disgusting,4
I know we're through,Everybody's Got Somebody But Me,Hunter Hayes,Sad,2
Ain't no sense in stayin' inside,A Beautiful Morning,The Rascals,Joy,0
"Show the world you've got that fire (fire)
Feel the rhythm getting louder
Show the room what you can do
Prove to them you got the moves",Better When I'm Dancin',Meghan Trainor,Joy,0
"If you could see what I see
You'd be blinded by the colours
Yellow, red and orange and green
And at least a million others
So tie up the boat
Take off your coat
And take a look around",Rainbow,Kacey Musgraves,Joy,0
I used to think maybe you loved me now baby I'm sure,Walking on Sunshine,"Katrina and the Waves, Katrina Leskanich",Joy,0
Me and you and you and me,Happy Together,The Turtles,Joy,0
A perfumed thank you they seemed to say,A Garden in the Rain, Connie Francis,Joy,0
"Anticipate her water break
Drooling at the mouth, my choad can't wait",Robalni,Syphilic,Disgusting,4
"Thirty two hollow tips, gloves, no rubber grip",I’m Supposed to Die Tonight,50 Cent,Anger,1
Scent of the pine…,Feeling Good,Michael Bublé,Joy,0
And dancers in the round,Song of the sea,Nolwenn Leroy,Joy,0
I know you were right believing for so long,All Out of Love,Air Supply,Sad,2
Lost is how I'm feeling lying in your arms,The Power Of Love,Celine Dion,Joy,0
"Waiting for a pussy to creep, give him my best shot",Hollow Points,Unknown ,Anger,1
Gonna see my baby again,Blue Bayou,Linda Ronstadt,Sad,2
They have the authority to kill a minority,Fuck Tha Police,N.W.A.,Anger,1
We were sad of getting old,When we are young,Adele,Fear,3
"More and more each day, gotta say, lead the way,",A Beautiful Morning,The Rascals,Joy,0
"Softly smile, I know she must be kind",Good Vibrations,The Beach Boys,Joy,0
"Anywhere, I would've followed you",Say Something,A Great Big World,Sad,2
"And hang body's that I hit up, can't fit us all,",Agony Fires,Army of the Pharaohs,Anger,1
Your brain disabled by the constant pain,Evisceration Plague,Cannibal Corpse,fear,3
"Yeah, they fake and all that",Bring da Ruckus,Wu-Tang Clan,Anger,1
I cripple any hypocritic critic I'm sic'd on,Fight Music,D12,Anger,1
Darkness falls across the land,Thriller,Michael Jackson,Fear,3
It looks to be the perfect love,Tonight I’ll Be Lonely Too,Alison Krauss,Sad,2
Drinking to suppress devotion,I’m a Mess,Ed Sheeran,Sad,2
Maxed out my oath,Spikes,Death Grips,Anger,1
"In a couple of years they have built
A home sweet home
With a couple of kids running in the yard
Of Desmond and Molly Jones","Ob-La-Di, Ob-La-Da",The Beatles,Joy,0
"I'm so tired of being alone,",Tired of Being Alone,Al Green,Sad,2
"Fa la la, fa la la",Fa La La,Justin Bieber,Joy,0
"Flightless bird, jealous, weeping","Flightless Bird, American Mouth",Iron & Wine,Sad,2
"Strong, athletic, muscle tone",I Eat a rainbow,Jay Mankita,Joy,0
I'll dis your magazine and still won't get a weak review,Just Don't Give a Fuck (a cappella),Eminem,Anger,1
"One last kiss, then catch your flight",Come Back...Be Here,Taylor Swift,Sad,2
Got me looking so crazy right now (your touch),Crazy in Love,Beyoncé,Joy,0
Had that upper hand had pulled first,Who Gives a Fuck Where You From,DJ Kay Slay,Anger,1
"Cannibal class, killing the son (ahh)",bury a friend,Billie Eilish,Anger,1
She had something that he needed And he pleaded with her not to go.,The Loner,Nils Lofgren,Sad,2
Your neighbor helped you move—he just wants to fuck you,I PAID JIM HOWELL TO RAPE YOU,Anal Cunt,Disgusting,4
"Yeah, history in the making",Crazy in Love,Beyoncé,Joy,0
"When he make it drip, drip kiss him on the lip, lip
That's the kind of dude I was lookin' for
And yes you'll get slapped if you're lookin' hoe",Super Bass,Nicki minaj,Disgusting,4
